summary;humain score_annotator1;humain score Annotator2
AraBART-summ_M000;2.5;3
AraBART-summ_M001;3;3.4
AraBART-summ_M002;2;3
AraBART-summ_M003;2.5;4.2
AraBART-summ_M004;3.5;3.8
AraBART-summ_M005;2;4
AraBART-summ_M006;2.25;3.2
AraBART-summ_M007;2.5;4.4
AraBART-summ_M008;3;4.2
AraBART-summ_M009;2;2.4
arabartsummarization_M000;2.5;3
arabartsummarization_M001;3;3.4
arabartsummarization_M002;3;2.2
arabartsummarization_M003;2.25;3
arabartsummarization_M004;3.5;4
arabartsummarization_M005;2.5;2.2
arabartsummarization_M006;1.75;2.2
arabartsummarization_M007;2.5;3.6
arabartsummarization_M008;2.25;2.4
arabartsummarization_M009;3.75;2.8
arabert2arabert-finetuned-ar-xlsum_M000;1;1.8
arabert2arabert-finetuned-ar-xlsum_M001;2;2.6
arabert2arabert-finetuned-ar-xlsum_M002;1;1.8
arabert2arabert-finetuned-ar-xlsum_M003;1;1.6
arabert2arabert-finetuned-ar-xlsum_M004;2.25;3.2
arabert2arabert-finetuned-ar-xlsum_M005;1.5;2.4
arabert2arabert-finetuned-ar-xlsum_M006;1;1.6
arabert2arabert-finetuned-ar-xlsum_M007;1.5;2.4
arabert2arabert-finetuned-ar-xlsum_M008;1;1.6
arabert2arabert-finetuned-ar-xlsum_M009;1;1.6
AraT5-base-finetune-ar-xlsum_M000;1;1.8
AraT5-base-finetune-ar-xlsum_M001;2;2.6
AraT5-base-finetune-ar-xlsum_M002;2.5;2.6
AraT5-base-finetune-ar-xlsum_M003;1.5;2
AraT5-base-finetune-ar-xlsum_M004;2.75;2.4
AraT5-base-finetune-ar-xlsum_M005;2.25;3
AraT5-base-finetune-ar-xlsum_M006;2;2.8
AraT5-base-finetune-ar-xlsum_M007;2.25;2.2
AraT5-base-finetune-ar-xlsum_M008;3;2
AraT5-base-finetune-ar-xlsum_M009;1;1.4
auto-arabic-summarization_M000;3;2.8
auto-arabic-summarization_M001;3;2.4
auto-arabic-summarization_M002;2;3
auto-arabic-summarization_M003;2;2.4
auto-arabic-summarization_M004;2;2.6
auto-arabic-summarization_M005;1.5;3.2
auto-arabic-summarization_M006;2;2
auto-arabic-summarization_M007;1.5;1.6
auto-arabic-summarization_M008;2.25;1.6
auto-arabic-summarization_M009;2.75;1.4
mbart-finetune-ar-xlsum_M000;1;1.8
mbart-finetune-ar-xlsum_M001;1;1.8
mbart-finetune-ar-xlsum_M002;1;1.8
mbart-finetune-ar-xlsum_M003;1;1.2
mbart-finetune-ar-xlsum_M004;1.5;1.2
mbart-finetune-ar-xlsum_M005;1.25;1.8
mbart-finetune-ar-xlsum_M006;1;1.2
mbart-finetune-ar-xlsum_M007;1;1.2
mbart-finetune-ar-xlsum_M008;1;1.2
mbart-finetune-ar-xlsum_M009;1;1.2
mbert2mbert-arabic-text-summarization_M000;1.5;2.2
mbert2mbert-arabic-text-summarization_M001;1;1.8
mbert2mbert-arabic-text-summarization_M002;1.25;1.4
mbert2mbert-arabic-text-summarization_M003;1.25;1.2
mbert2mbert-arabic-text-summarization_M004;1.5;1.2
mbert2mbert-arabic-text-summarization_M005;1.75;1.4
mbert2mbert-arabic-text-summarization_M006;1.25;1.4
mbert2mbert-arabic-text-summarization_M007;1;1.2
mbert2mbert-arabic-text-summarization_M008;1;1.2
mbert2mbert-arabic-text-summarization_M009;1.25;1
mt5-base-arabic_M000;2.5;3
mt5-base-arabic_M001;3.5;3.8
mt5-base-arabic_M002;1.75;2.2
mt5-base-arabic_M003;2;3.2
mt5-base-arabic_M004;1.75;3.4
mt5-base-arabic_M005;1;1.6
mt5-base-arabic_M006;1.5;1.4
mt5-base-arabic_M007;1.75;2.8
mt5-base-arabic_M008;1.25;1.4
mt5-base-arabic_M009;2;1.4
mT5_m2m_crossSum_M000;2.5;3
mT5_m2m_crossSum_M001;1.5;2.2
mT5_m2m_crossSum_M002;1.75;1.8
mT5_m2m_crossSum_M003;2.5;2.4
mT5_m2m_crossSum_M004;1.5;2
mT5_m2m_crossSum_M005;1.75;2.2
mT5_m2m_crossSum_M006;1.5;1.4
mT5_m2m_crossSum_M007;2;2.6
mT5_m2m_crossSum_M008;1.5;1.6
mT5_m2m_crossSum_M009;2.5;1.4
mT5_multilingual_XLSum-finetuned-wikilingua-ar_M000;1;1.8
mT5_multilingual_XLSum-finetuned-wikilingua-ar_M001;1;1.8
mT5_multilingual_XLSum-finetuned-wikilingua-ar_M002;1.5;1.4
mT5_multilingual_XLSum-finetuned-wikilingua-ar_M003;1.5;1.8
mT5_multilingual_XLSum-finetuned-wikilingua-ar_M004;1.75;2.6
mT5_multilingual_XLSum-finetuned-wikilingua-ar_M005;1;1.6
mT5_multilingual_XLSum-finetuned-wikilingua-ar_M006;1.5;1.2
mT5_multilingual_XLSum-finetuned-wikilingua-ar_M007;1.25;2
mT5_multilingual_XLSum-finetuned-wikilingua-ar_M008;1.25;1.4
mT5_multilingual_XLSum-finetuned-wikilingua-ar_M009;1.5;1
mT5_multilingual_XLSum_M000;1;1.8
mT5_multilingual_XLSum_M001;2;2.6
mT5_multilingual_XLSum_M002;2;1.8
mT5_multilingual_XLSum_M003;1.75;1.6
mT5_multilingual_XLSum_M004;1.5;2.2
mT5_multilingual_XLSum_M005;2;1.8
mT5_multilingual_XLSum_M006;1.5;1.4
mT5_multilingual_XLSum_M007;1.5;1.4
mT5_multilingual_XLSum_M008;1.25;1.4
mT5_multilingual_XLSum_M009;2;1.4
t5-arabic-text-summarization_M000;1.5;2.2
t5-arabic-text-summarization_M001;1.25;2
t5-arabic-text-summarization_M002;1.5;1.6
t5-arabic-text-summarization_M003;1;1.6
t5-arabic-text-summarization_M004;1.75;1.6
t5-arabic-text-summarization_M005;1;1.4
t5-arabic-text-summarization_M006;1.75;1.4
t5-arabic-text-summarization_M007;1.25;1.4
t5-arabic-text-summarization_M008;1;1.4
t5-arabic-text-summarization_M009;1.25;1